,duration,views,saves,zpid
890,30 days,"9,440",528,26337956
891,19 days,"4,736",355,337097387
892,4 days,"2,193",131,29379527
893,5 days,"1,599",80,26555547
894,4 days,850,81,70314069
895,3 days,"3,371",179,27160550
896,5 days,"1,971",160,52088512
897,2 days,"1,110",52,28853160
898,3 days,"2,008",165,28303931
899,16 days,"7,130",364,29515279
900,3 days,"1,013",25,26596976
901,8 days,"3,069",275,28987936
902,85 days,"5,255",380,78835990
903,3 days,270,26,246927292
904,3 days,"2,063",153,26204891
905,4 days,"1,457",142,2070104303
906,7 days,"4,722",248,243972215
907,3 days,"1,706",109,122952395
908,7 days,"3,289",192,72059380
909,7 days,"1,679",60,29315755
910,3 days,"1,292",57,50704704
911,7 days,"2,641",170,251429872
912,3 days,"1,774",101,26526940
913,56 days,"5,436",252,52103563
914,2 days,874,40,53310009
915,29 days,"7,064",538,2060963443
916,12 hours,159,15,26307896
917,21 days,"4,390",230,27634911
918,68 days,"9,761",528,84000760
919,2 days,742,46,27573885
920,9 days,"2,462",178,26474984
921,3 days,"1,005",61,26254926
922,3 days,690,33,87571303
923,4 days,"1,220",81,2060705590
924,8 days,"5,077",166,70570466
925,16 days,"5,066",319,28764996
926,8 days,"2,573",185,249894117
927,6 days,"1,066",112,28231628
928,1 day,223,14,27558860
929,9 days,"2,880",183,2144743308
930,36 days,"2,414",152,29148580
931,2 days,"1,449",180,26404236
932,4 days,995,63,26210389
933,8 days,"2,395",183,97701866
934,3 days,413,27,27594287
935,73 days,"4,706",187,26228301
936,3 days,636,72,231975303
937,4 days,"1,116",72,28193181
938,30 days,"4,594",225,29266817
939,3 days,501,39,119631692
940,57 days,"4,763",298,29246850
941,45 days,"9,002",327,29469952
942,4 days,"2,328",142,26685513
943,11 hours,325,19,27407048
944,3 days,526,53,28530802
945,2 days,"1,049",50,120769738
946,3 days,998,48,26957117
947,11 days,"5,851",214,26835326
948,3 days,"1,096",28,27423679
949,16 hours,91,4,78824672
950,3 days,"1,998",100,29195130
951,7 days,"3,134",120,27315652
952,2 days,"1,128",70,2100971670
953,3 days,947,71,29078751
954,2 days,"1,336",50,119834961
955,2 days,"1,120",58,27260867
956,4 days,"1,495",101,28188092
957,3 days,802,49,329225793
958,17 days,"3,477",178,250994925
959,1 day,243,9,89614624
960,1 day,196,7,26171753
961,5 days,"1,057",65,2060719652
962,7 days,"1,518",134,126259700
963,3 days,"1,784",82,27291973
964,113 days,"13,288",522,28547534
965,16 days,"3,383",267,193034015
966,9 days,"3,330",230,29462119
967,1 day,143,20,26190563
968,40 days,"6,179",448,26784699
969,2 days,675,72,29190279
970,1 day,295,16,26328872
971,3 days,"1,139",85,27082664
972,1 day,237,9,52708486
973,1 day,177,4,26542356
974,52 days,"5,455",367,52063911
975,37 days,"2,991",200,29108978
976,81 days,"9,514",353,2061711954
977,2 days,248,15,28039657
978,2 days,561,23,26313562
979,4 days,859,44,26337441
980,81 days,"9,524",450,26846480
981,1 day,438,28,28129912
982,127 days,"13,871",531,29439004
983,11 hours,40,1,26521860
984,31 days,"1,544",130,250995068
985,1 day,246,21,26179944
986,1 day,512,24,26143757
987,1 day,120,3,220255434
988,3 days,525,26,75301128
989,2 days,558,46,28275381
990,2 days,159,5,26375124
991,1 day,285,16,28530325
992,18 days,"3,034",210,28464795
993,12 days,"1,854",107,78863036
994,2 days,166,10,27672217
995,9 days,"3,109",140,251272927
996,11 days,"3,454",231,29244828
997,1 day,335,14,28427990
998,3 days,441,26,26159848
999,1 day,559,12,2060675926
1000,80 days,"30,228",748,2061726388
1001,2 days,"2,746",173,32490969
1002,2 days,"2,520",201,124240263
1003,2 days,"3,119",129,31027190
1004,2 days,"2,946",145,32824539
1005,3 days,"2,542",207,31387426
1006,36 days,"34,953","1,066",2078094339
1007,4 days,"2,815",224,32497384
1008,3 days,"1,788",93,32783448
1009,3 days,"1,209",78,32027675
1010,28 days,"13,767",417,30662413
1011,3 days,"1,212",85,30664684
1012,3 days,"2,869",82,30348548
1013,5 days,"3,449",159,30990262
1014,2 days,"2,162",115,32990300
1015,8 days,"2,320",227,63667138
1016,2 days,"1,114",66,2111758424
1017,11 hours,316,29,205945883
1018,2 days,"1,625",54,32431873
1019,1 day,"1,371",89,59353105
1020,3 days,"2,737",167,59567531
1021,3 days,"2,052",122,71198143
1022,66 days,"24,900",741,113087202
1023,4 days,"2,733",110,31357075
1024,3 days,"2,671",123,31235654
1025,3 days,"1,760",107,30181140
1026,1 day,"1,011",88,32242800
1027,4 days,"3,172",112,32418654
1028,2 days,"1,415",71,337496303
1029,1 day,307,12,30639167
1030,1 day,853,52,30358014
1031,9 days,"4,382",385,30101129
1032,4 days,"2,360",186,59645289
1033,2 days,732,65,31325563
1034,5 days,"2,472",140,30050185
1035,14 hours,58,1,2060667248
1036,3 days,"1,487",106,30161285
1037,1 day,"1,134",101,30813244
1038,5 days,"2,852",138,30397560
1039,1 day,"1,009",62,53797318
1040,1 day,"1,423",76,32252854
1041,6 days,"2,509",174,31823356
1042,5 days,"2,534",134,30491965
1043,3 days,"1,168",35,32652732
1044,9 days,"5,894",344,30338805
1045,3 days,"2,506",84,31222040
1046,3 days,"1,743",87,30921861
1047,1 day,414,10,2062760008
1048,1 day,"2,877",187,31028396
1049,1 day,914,38,30908937
1050,2 days,"1,153",34,32458943
1051,12 hours,105,5,29996560
1052,1 day,792,31,59647208
1053,1 day,"1,065",47,70917850
1054,3 days,"2,229",76,31076587
1055,1 day,"1,960",129,30035720
1056,5 days,"2,278",156,30182315
1057,59 days,"9,713",312,59444898
1058,2 days,412,27,30522725
1059,11 days,"2,927",279,55730470
1060,2 days,747,33,32458160
1061,1 day,256,10,30816445
1062,1 day,440,25,150850795
1063,17 days,"8,166",398,30360572
1064,50 days,"21,032",489,2128461623
1065,1 day,647,42,61828309
1066,2 days,509,32,32791238
1067,2 days,906,29,29652395
1068,2 days,543,27,101985960
1069,8 days,"2,975",107,30751024
1070,11 days,"7,614",358,30266734
1071,2 days,"1,176",59,30352106
1072,43 days,"4,040",301,29997152
1073,1 day,802,31,32059192
1074,4 days,"1,304",60,31747521
1075,2 days,"1,597",115,32249993
1076,3 days,"1,589",69,31861846
1077,1 day,260,6,2060676235
1078,1 day,612,41,29763698
1079,5 days,"1,994",156,30293063
1080,4 days,"1,132",68,59500620
1081,4 days,"1,221",52,142441519
1082,5 days,"1,990",63,31234935
1083,3 days,"1,278",63,29705611
1084,1 day,283,3,2075142597
1085,1 day,185,4,2060674858
1086,74 days,"2,881",146,2061667925
1087,3 days,"1,246",111,32867237
1088,3 days,578,27,98094437
1089,3 days,887,48,60560375
1090,4 days,"2,016",89,32870168
1091,1 day,"1,684",115,31659282
1092,1 day,562,24,32717472
1093,2 days,"1,242",41,59551893
1094,2 days,663,24,30787395
1095,10 days,"3,877",163,31837602
1096,1 day,771,5,30340905
1097,6 days,"1,547",97,61973735
1098,1 day,750,31,53395137
1099,44 days,"4,348",335,215416089
1100,2 days,"1,433",76,59551236
1101,1 day,626,19,59477297
1102,1 day,348,12,31558278
1103,3 days,"1,765",90,30400927
1104,1 day,275,2,244597458
1105,38 days,"9,262",399,32927999
1106,2 days,"1,222",85,32473088
1107,16 days,"10,076",340,31347636
1108,2 days,"1,028",67,31708701
1109,3 days,871,49,32889132
1110,2 days,"1,127",51,31599673
1111,1 day,637,34,32428817
1112,2 days,"1,460",44,32304595
1113,4 days,"1,486",71,31848822
1114,53 days,"13,439",635,32268242
1115,2 days,524,19,31797502
1116,17 days,"4,694",258,59358890
1117,3 days,"1,181",97,31847499
1118,5 days,"2,043",67,32739375
1119,5 hours,18,0,2060665738
1120,16 days,"7,775",387,31910588
1121,9 days,"3,764",155,31485481
1122,1 day,869,42,72094731
1123,47 days,"4,155",289,32463973
1124,1 day,941,41,32336812
1125,63 days,"3,343",196,32843437
1126,2 days,920,57,32932567
1127,24 days,"2,301",109,30475427
1128,1 day,"1,026",27,32973309
1129,25 days,"8,945",186,31842976
1130,3 days,"1,332",68,32411399
1131,1 day,"1,063",47,32359691
1132,124 days,"1,119",89,53754481
1133,72 days,"5,240",261,29717686
1134,1 day,657,19,2060678565
1135,18 days,"3,959",253,30963682
1136,3 days,915,88,30860007
1137,2 days,590,23,31943637
1138,3 days,833,47,2060703170
1139,4 days,"2,044",62,31238391
1140,1 day,367,23,30865385
1141,4 days,"2,292",106,59549978
1142,102 days,"9,004",246,245066787
1143,1 day,403,28,53174922
1144,4 days,"1,121",67,30224442
1145,3 days,"2,035",117,19005650
1146,3 days,"2,459",73,18998060
1147,3 days,"3,697",146,25569842
1148,2 days,"1,342",43,20257278
1149,5 days,"3,568",154,17768483
1150,5 days,"2,593",100,95524114
1151,3 days,"1,409",54,18031254
1152,1 day,917,45,65250827
1153,10 days,"10,963",636,20092512
1154,37 days,"14,295",529,25647312
1155,4 days,"1,446",104,26041080
1156,4 days,"2,492",160,16201671
1157,3 days,"1,705",111,26094665
1158,8 days,"7,039",284,136710190
1159,4 days,"3,266",142,18777322
1160,3 days,"2,532",236,25983786
1161,6 days,"6,172",395,18534342
1162,3 days,"1,353",108,89164276
1163,4 days,"2,337",199,17848687
1164,4 days,"1,716",97,18931236
1165,3 days,"3,669",200,21690081
1166,6 days,"2,712",95,17643447
1167,16 hours,150,3,17394297
1168,4 days,"1,940",113,64967158
1169,2 days,409,6,79574244
1170,4 days,812,33,17246613
1171,3 days,"1,788",99,83254453
1172,2 days,350,16,79814511
1173,3 days,"1,283",33,20246272
1174,62 days,"17,588",393,25650866
1175,3 days,"2,711",231,20752510
1176,3 days,"2,320",92,2067229198
1177,5 days,"1,870",70,15780869
1178,4 days,"3,001",102,16974706
1179,4 days,"3,250",136,21540462
1180,8 hours,83,4,136691579
1181,1 day,521,33,2060674705
1182,33 days,"6,532",359,136698201
1183,2 days,"1,402",92,18687692
1184,3 days,806,30,95059674
1185,6 days,"4,373",130,17151336
1186,4 days,"2,091",118,15239265
1187,2 days,"1,042",46,2060682377
1188,112 days,"3,838",178,17478884
1189,3 days,"1,813",90,25207169
1190,36 days,"4,952",180,63231324
1191,2 days,715,47,21427357
1192,84 days,"5,885",235,157966046
1193,4 days,"1,942",141,16587252
1194,4 days,732,48,18098928
1195,23 days,"8,010",337,83269592
1196,5 days,"1,933",64,20993122
1197,2 days,464,24,19140592
1198,23 days,"5,676",277,2108602911
1199,63 days,"2,029",107,17504594
1200,2 days,"1,511",78,16649404
1201,2 days,"1,351",58,16954818
1202,60 days,"4,107",215,17686544
1203,6 days,"2,316",86,51601102
1204,2 hours,71,2,89153474
1205,2 days,"1,684",142,21463169
1206,5 days,"2,160",80,17893243
1207,4 days,755,64,54956160
1208,2 days,936,27,136962077
1209,2 days,602,53,241482757
1210,121 days,"3,980",180,2062282463
1211,2 days,253,8,2120035891
1212,24 days,"5,762",368,89166302
1213,8 days,"3,935",216,17168392
1214,1 day,312,13,18200491
1215,3 days,"1,053",92,17114773
1216,1 day,619,38,69022737
1217,1 day,371,18,16757247
1218,2 days,684,23,18981399
1219,5 days,"2,843",195,20755584
1220,2 days,327,15,79836074
1221,22 days,"5,656",220,25763146
1222,7 days,"1,978",75,136709331
1223,3 days,"1,032",30,95905589
1224,3 days,947,45,300315805
1225,15 days,"9,579",345,18166872
1226,2 days,"1,220",68,18826626
1227,3 days,"1,258",42,54388786
1228,1 day,398,13,15602793
1229,3 days,"1,273",44,79794028
1230,1 day,798,54,19276250
1231,1 day,248,13,145565444
1232,3 days,848,35,125982397
1233,1 day,269,1,64888779
1234,1 day,949,42,21227616
1235,35 days,"10,136",233,17841161
1236,8 days,"3,560",186,17131860
1237,4 days,"1,506",66,98328968
1238,2 days,271,8,17816797
1239,4 days,"1,990",71,24935475
1240,3 days,555,32,20429770
1241,2 days,447,14,25691906
1242,11 days,"3,599",174,18602717
1243,3 days,"1,614",85,21016561
1244,1 day,520,27,20668011
1245,43 days,"12,080",422,16162301
1246,2 days,"1,739",129,18566359
1247,1 day,557,22,15375002
1248,4 days,"1,131",71,21558710
1249,3 days,573,29,307022769
1250,2 days,"1,826",159,26053123
1251,6 days,"2,350",82,15397599
1252,50 days,"1,572",122,17131561
1253,1 day,144,7,113357975
1254,2 days,445,23,18046583
1255,3 days,741,27,15262408
1256,52 days,"4,487",171,17556703
1257,4 days,"1,301",70,20915044
1258,10 days,"4,027",165,26000486
1259,2 days,244,7,2060683468
1260,7 days,"3,093",204,16643614
1261,16 hours,291,10,20441402
1262,2 days,392,22,25963390
1263,3 days,862,46,25251720
1264,4 days,802,44,18914024
1265,2 days,125,3,21263414
1266,1 day,239,10,19106619
1267,5 days,"3,873",179,20200289
1268,3 days,"1,132",43,25216009
1269,4 days,"1,452",46,18186547
1270,45 days,"5,742",204,2061231499
1271,2 days,559,20,19900959
1272,25 days,"5,272",353,19049509
1273,8 days,"2,827",99,17441134
1274,36 days,"7,231",261,17884915
1275,2 days,"1,393",120,18615881
1276,1 day,564,14,19178622
1277,2 days,"1,031",31,19742294
1278,4 days,"2,036",131,250059294
1279,57 days,"7,256",255,136701465
1280,69 days,"4,135",121,20247573
1281,3 days,778,38,18181634
1282,2 days,435,14,25602988
1283,2 days,583,37,52468352
1284,30 days,"7,673",414,16973012
1285,39 days,"6,137",157,21390263
1286,17 days,"2,986",126,2072308834
1287,14 hours,573,20,51065505
1288,1 day,219,14,19062679
1289,2 days,507,19,17106715
1290,2 days,"1,461",57,18594839
1291,1 day,362,19,17927832
1292,1 day,599,30,111916342
1293,2 days,959,65,18993292
1294,1 day,"1,357",66,19139477
1295,2 days,643,28,25662752
1296,1 day,490,31,15219837
1297,,,,17173210
1298,4 days,"1,298",84,83303308
1299,1 day,610,22,129729342
1300,2 days,"3,600",118,39790093
1301,8 days,"10,311",454,39949671
1302,1 day,"1,994",61,52911235
1303,3 days,"2,661",76,39400821
1304,2 days,"4,075",247,39811884
1305,3 days,"2,477",142,39629597
1306,1 day,609,11,39643100
1307,3 days,"1,734",116,38729193
1308,1 day,"1,413",49,39790861
1309,75 days,"26,580","1,105",64464983
1310,2 days,"1,548",85,38016547
1311,4 days,"2,421",132,150413589
1312,4 days,"2,740",245,38748900
1313,3 days,"2,654",170,39510149
1314,16 days,"8,619",484,39550937
1315,1 day,282,7,2060673978
1316,1 day,669,38,39750793
1317,6 days,"2,093",55,39270786
1318,39 days,"2,574",231,38256808
1319,3 days,"3,019",269,38101753
1320,8 days,"6,155",400,38724253
1321,3 days,"1,885",75,39280699
1322,1 day,"1,326",45,40053577
1323,4 days,"3,566",238,40112684
1324,3 days,"2,031",115,39434280
1325,1 day,645,18,38345729
1326,10 days,"3,657",160,38410597
1327,1 day,399,15,37925195
1328,10 days,"7,460",202,162154777
1329,1 day,787,35,38058405
1330,3 days,"2,040",67,37959778
1331,1 day,"1,550",98,38687366
1332,1 day,725,17,52910230
1333,,,,37952686
1334,3 days,"2,543",218,38932547
1335,1 day,"1,218",97,37789305
1336,3 days,"3,144",160,39478757
1337,1 day,269,8,2060679490
1338,5 days,"1,226",66,38397822
1339,12 days,"3,047",204,38706047
1340,1 day,321,16,39822891
1341,1 day,604,23,38391400
1342,1 day,135,2,39120175
1343,2 days,264,4,38128230
1344,8 days,"4,078",236,39053525
1345,3 days,"2,408",116,40092428
1346,8 days,"3,436",118,39386563
1347,16 days,"5,545",378,38090279
1348,23 days,"14,201",899,38039448
1349,3 days,"1,624",69,88939322
1350,1 day,574,26,88856440
1351,44 days,"9,759",409,38628956
1352,4 days,"1,288",113,2060712320
1353,4 days,"3,348",147,39125965
1354,2 days,"1,360",25,39230519
1355,3 days,"1,193",42,52402181
1356,2 days,465,30,2075776444
1357,4 days,"1,622",82,38706045
1358,12 days,"4,631",280,38790519
1359,2 days,"1,113",57,38098313
1360,18 days,"6,496",353,38896704
1361,19 days,"11,276",568,39047738
1362,9 days,"3,238",168,38760012
1363,2 days,851,27,37990766
1364,8 days,"5,503",280,39733728
1365,2 days,"1,434",84,39508347
1366,37 days,"9,191",349,39804620
1367,61 days,"5,013",216,39501613
1368,1 day,669,39,64852794
1369,,,,38109742
1370,6 hours,170,4,38155108
1371,1 day,"1,062",35,39864332
1372,2 days,754,49,38820520
1373,2 days,"1,116",86,39318612
1374,15 hours,429,8,39298700
1375,31 days,"7,969",406,38799199
1376,4 days,"3,650",208,39453818
1377,2 days,562,44,38266974
1378,2 days,"1,012",95,38632618
1379,3 days,628,22,2128545859
1380,53 days,"4,951",268,87967523
1381,10 days,"5,171",279,39207294
1382,7 days,"4,171",242,39237728
1383,2 days,692,26,39917766
1384,2 days,"1,087",64,37880070
1385,45 days,"1,827",79,38281674
1386,3 days,"1,689",80,39251499
1387,1 day,311,11,39525498
1388,121 days,"4,446",199,38019107
1389,2 days,729,48,38164396
1390,1 day,"1,035",50,38722942
1391,2 days,372,19,38069769
1392,2 days,451,19,2060682246
1393,3 days,"1,545",100,38318583
1394,15 days,"5,834",267,39428667
1395,2 days,348,10,39532111
1396,58 days,"9,682",309,2061469414
1397,1 day,"2,199",139,39237101
1398,38 days,"8,313",415,39046676
1399,2 days,181,7,38196155
1400,5 days,"1,771",102,37942882
1401,2 days,343,43,38279184
1402,2 days,"1,549",91,38753607
1403,1 day,435,29,37903382
1404,4 days,"1,122",69,68296165
1405,1 day,"1,119",87,38023241
1406,22 days,"7,721",309,39079326
1407,41 days,"6,096",240,39867648
1408,11 days,"2,766",130,37875771
1409,9 days,"3,767",152,39443734
1410,4 days,796,55,38828885
1411,3 days,668,26,38136791
1412,3 days,85,0,2060693330
1413,2 days,467,24,2060673824
1414,3 days,"1,266",41,39347072
1415,9 days,"3,208",112,2097713640
1416,21 days,"7,535",248,39495690
1417,3 days,985,39,38129308
1418,1 day,530,20,2062547476
1419,11 days,"3,729",209,39721110
1420,108 days,"5,309",229,39816210
1421,3 days,584,28,38657176
1422,1 day,267,9,39671326
1423,2 days,769,45,79891010
1424,2 days,964,19,39036211
1425,102 days,"2,089",98,37794477
1426,3 days,860,31,38946409
1427,8 days,"4,701",136,39151215
1428,11 days,"7,787",480,38654653
1429,8 days,"2,175",83,38773146
1430,23 days,"1,583",75,39814407
1431,37 days,"1,298",90,39521174
1432,1 day,719,22,38058316
1433,18 days,"5,236",162,38921554
1434,10 days,"2,276",127,40020475
1435,7 days,"6,459",300,38688857
1436,15 days,"5,780",232,64920677
1437,3 days,"1,346",58,38982392
1438,5 days,"3,079",115,178430480
1439,29 days,"5,002",150,2060965914
1440,56 days,"3,374",142,2061450315
1441,1 day,528,14,118629748
1442,3 days,"2,394",91,34595243
1443,2 days,993,106,34996141
1444,2 days,"1,708",102,34295391
1445,1 day,"1,510",77,35143320
1446,2 days,593,27,33225200
1447,3 days,"1,698",110,34422799
1448,3 days,"2,952",263,33586127
1449,4 days,"1,564",86,33987956
1450,5 days,"2,166",193,34236348
1451,4 days,"1,300",93,78449974
1452,3 days,"3,102",203,35277144
1453,3 days,"1,103",43,34236755
1454,3 days,"2,516",106,33459678
1455,7 days,"2,867",154,35618795
1456,38 days,"5,330",319,34640697
1457,3 days,"1,934",118,34221270
1458,3 days,"1,166",71,34922670
1459,3 days,"1,086",67,34801206
1460,23 days,"5,613",383,33918661
1461,5 days,"1,464",136,34112830
1462,13 hours,276,21,35526267
1463,4 days,"1,249",67,34338041
1464,4 days,"1,292",99,35685461
1465,1 day,"1,300",81,34801093
1466,1 day,"1,410",62,33611508
1467,2 days,127,4,34042249
1468,2 days,553,28,34352419
1469,34 days,"6,345",375,33862994
1470,2 days,597,24,35713085
1471,1 day,525,14,34505635
1472,2 days,701,17,35246549
1473,1 day,541,17,35244313
1474,17 days,"4,866",266,34611154
1475,2 days,968,52,33494931
1476,2 days,227,17,227512188
1477,14 hours,215,25,33288958
1478,2 days,796,67,33820692
1479,1 day,739,17,33589207
1480,2 days,359,10,33812520
1481,12 hours,262,12,35608339
1482,1 day,240,12,107213262
1483,1 day,801,36,35401467
1484,1 day,509,20,33737381
1485,5 days,"2,254",162,34251341
1486,2 days,"1,516",102,34426890
1487,2 days,852,29,67330567
1488,9 days,"3,587",194,35387009
1489,1 day,623,23,81723233
1490,1 day,74,9,35669041
1491,1 day,804,51,33473604
1492,2 days,752,24,35380965
1493,3 days,"1,562",80,96410724
1494,2 days,265,10,34026268
1495,2 days,"1,301",69,134244766
1496,1 day,491,38,33606350
1497,17 days,"9,354",551,34915526
1498,16 hours,371,6,34232911
1499,1 day,263,20,118631051
1500,3 days,958,45,33719608
1501,1 day,472,13,91958709
1502,2 days,316,21,91969440
1503,1 day,390,15,78978509
1504,2 days,319,12,35458732
1505,1 day,421,7,33522302
1506,2 days,290,16,124011978
1507,1 day,235,19,227509827
1508,2 days,163,9,128613620
1509,2 days,174,10,92238630
1510,17 hours,292,10,33535994
1511,2 days,355,10,33608091
1512,1 day,176,15,84228443
1513,1 day,361,10,67330877
1514,1 day,342,21,33370238
1515,2 days,352,7,33879521
1516,1 day,598,30,35064814
1517,1 day,536,27,34501999
1518,1 day,332,17,2060675169
1519,1 day,525,28,34582671
1520,1 day,251,17,124189017
1521,7 days,"1,446",81,34914163
1522,4 days,"2,327",100,33454918
1523,2 days,124,2,2132469387
1524,1 day,584,27,33519254
1525,5 days,"2,045",82,86618909
1526,1 day,283,10,34272680
1527,1 day,274,30,33113254
1528,1 day,689,33,33569081
1529,1 day,847,61,118520312
1530,2 days,437,18,33671031
1531,1 day,388,21,82322732
1532,1 day,609,30,34878964
1533,4 days,"2,213",157,90188759
1534,3 days,"1,292",40,33460121
1535,3 days,"1,469",49,35356515
1536,1 day,508,33,33523663
1537,1 day,735,18,33536282
1538,2 days,688,67,33914511
1539,1 day,575,60,35069798
1540,5 days,"2,094",138,34704067
1541,2 days,892,30,33996234
1542,2 days,518,40,34060038
1543,1 day,325,8,33681453
1544,10 days,"3,901",265,33689479
1545,2 days,736,36,35332449
1546,2 days,"1,015",76,33580520
1547,1 day,322,22,35445433
1548,2 days,"1,054",43,33691431
1549,2 days,"1,511",62,35221851
1550,36 days,"9,075",309,34227908
1551,8 days,"3,179",205,58728587
1552,2 days,491,32,35468509
1553,2 days,586,30,33847252
1554,1 day,217,5,92376319
1555,15 days,"4,939",399,34158194
1556,1 day,143,13,33704471
1557,24 days,"6,237",319,34689693
1558,3 days,"1,054",76,33869624
1559,76 days,"1,097",43,34734350
1560,2 days,480,33,34109703
1561,6 days,"1,858",70,2060719818
1562,44 days,"2,604",122,34621671
1563,3 days,392,20,35109997
1564,3 days,"1,144",53,35331493
1565,2 days,565,32,33912630
1566,2 days,634,35,34984756
1567,18 days,"4,101",217,82180489
1568,2 days,655,35,35395228
1569,2 days,"1,409",61,34213966
1570,1 day,408,16,35367013
1571,3 days,640,38,33125767
1572,45 days,"5,018",222,35330796
1573,3 days,583,37,33325341
1574,43 days,"1,193",56,58559724
1575,3 days,499,43,35608409
1576,7 days,"4,196",247,34154593
1577,1 day,638,78,34364502
1578,102 days,"5,037",213,333335823
1579,3 days,800,58,34048484
1580,2 days,999,61,35400277
1581,38 days,"7,024",376,33870386
1582,2 days,694,60,91969888
1583,4 days,"1,433",116,33969077
1584,1 day,282,10,51277973
1585,2 days,130,3,97142809
1586,2 days,"1,504",85,34736697
1587,3 days,628,33,88956813
1588,2 days,975,67,34590185
1589,36 days,"4,801",198,33663104
1590,44 days,"3,430",180,203276736
1591,2 days,211,9,51278017
1592,120 days,"1,109",87,34146628
1593,1 day,224,6,33351933
1594,2 days,229,6,2060685609
1595,3 days,642,32,97155277
1596,126 days,"4,392",184,33656883
1597,5 days,"1,047",33,33898815
1598,4 days,"2,852",92,116022871
1599,3 days,"2,501",134,77562561
1600,3 days,"1,357",100,115453143
1601,2 days,"1,735",110,105764167
1602,23 days,"5,235",370,115456771
1603,3 days,"1,643",103,84433165
1604,2 days,"1,220",68,116024507
1605,3 days,"1,208",63,77553084
1606,2 days,437,24,115456043
1607,2 days,"1,136",98,96936980
1608,134 days,"8,029",690,326675087
1609,3 days,"2,651",217,1364539
1610,4 days,937,39,103910048
1611,4 days,"1,877",115,2060711470
1612,2 days,289,12,120261750
1613,1 day,527,40,234472794
1614,1 day,128,5,115345257
1615,1 day,664,47,105923355
1616,24 days,"3,860",252,1347589
1617,16 hours,146,5,195012638
1618,2 days,"1,608",53,73490946
1619,1 day,235,12,73609563
1620,1 day,609,5,73647685
1621,2 days,839,23,234298218
1622,2 days,254,11,97258452
1623,2 days,646,40,233964206
1624,1 day,485,22,2081408387
1625,5 days,"3,411",127,83411501
1626,1 day,301,7,114046308
1627,10 days,"6,549",257,127153633
1628,2 days,561,53,121725052
1629,2 days,638,24,97257002
1630,1 day,635,6,73447514
1631,1 day,204,8,96936753
1632,1 day,663,58,73496200
1633,1 day,489,53,73622970
1634,1 day,559,35,73573866
1635,4 days,"1,878",85,96932561
1636,21 hours,436,46,87848425
1637,2 days,978,37,194825878
1638,6 days,"1,697",78,117786049
1639,215 days,"7,671",232,115466824
1640,16 days,"3,352",237,95195043
1641,1 day,422,20,114016083
1642,2 days,452,13,105916569
1643,1 day,182,5,2065870132
1644,,,,73583753
1645,5 days,"1,115",40,1392995
1646,82 days,"2,067",122,115294383
1647,57 days,"2,597",91,1431658
1648,4 days,"1,720",81,73530223
1649,1 day,"1,383",60,77574099
1650,1 day,402,18,73666629
1651,3 days,900,58,73451821
1652,2 days,722,47,73652240
1653,79 days,"4,595",356,126652375
1654,25 days,"7,172",274,73652296
1655,3 days,749,38,116032782
1656,3 days,"1,434",42,1375639
1657,59 days,"2,566",119,115343387
1658,113 days,"2,004",110,194801987
1659,1 day,182,12,2065153933
1660,4 days,685,50,73586529
1661,3 days,"1,374",55,77551880
1662,1 day,572,22,226793697
1663,1 day,280,13,234522175
1664,4 days,586,36,96939744
1665,57 days,"2,831",172,115294293
1666,6 days,"3,227",143,91584575
1667,47 days,"3,053",152,2061254334
1668,19 days,"2,051",117,60064556
1669,43 days,"5,320",371,234208872
1670,3 days,"1,002",44,2082411317
1671,53 days,"3,672",153,73541445
1672,2 days,620,62,73495333
1673,2 days,297,18,97273167
1674,30 days,"2,595",84,222927239
1675,144 days,"3,696",157,218463427
1676,10 days,"2,359",83,116029586
1677,6 days,"1,473",64,218407264
1678,23 days,"5,824",291,73611461
1679,3 days,"1,441",41,2086225680
1680,21 days,"4,267",284,116236438
1681,31 days,"4,592",294,96933657
1682,30 days,"6,779",435,105764181
1683,2 days,959,43,1363695
1684,30 days,"3,074",142,105770335
1685,2 days,207,2,73612148
1686,28 days,"3,389",197,111287960
1687,4 days,577,22,116007183
1688,17 days,"2,096",117,112032300
1689,4 days,753,48,1369110
1690,68 days,"1,593",69,230202133
1691,4 days,"1,125",55,1426846
1692,79 days,"2,600",139,2077777079
1693,3 days,573,18,105938879
1694,3 days,597,26,246165274
1695,2 days,"1,198",43,96950233
1696,57 days,"3,239",94,234209272
1697,135 days,"3,440",138,1397041
1698,2 days,240,3,225984063
1699,33 days,"3,413",223,1412972
1700,1 day,223,4,113290116
1701,1 day,163,6,115457945
1702,5 days,"1,223",46,225988692
1703,8 days,"1,794",46,105795660
1704,5 days,522,26,97260909
1705,7 days,"2,217",102,96956117
1706,58 days,"1,959",76,115431648
1707,5 days,475,24,233957136
1708,30 days,"4,755",187,77533884
1709,3 days,866,25,105872404
1710,30 days,"2,154",82,115371458
1711,8 days,"2,025",113,131990919
1712,71 days,"1,398",44,218990775
1713,3 days,701,34,326142348
1714,110 days,"1,238",54,333112455
1715,7 days,"3,730",101,73625159
1716,67 days,"1,455",52,115445795
1717,27 days,"2,253",134,126650888
1718,12 days,"1,789",73,115247283
1719,51 days,"3,804",236,115269673
1720,16 days,"3,417",233,77560862
1721,47 days,"2,262",96,77549766
1722,38 days,"2,519",78,230199790
1723,22 days,"3,588",121,98537687
