,duration,views,saves
127,68 days,"2,412",70
128,128 days,"3,777",114
129,32 days,"6,127",152
130,2 days,"1,876",158
131,2 days,"1,555",144
132,3 days,"3,656",134
133,2 days,"1,307",101
134,3 days,"1,401",108
135,2 days,"1,396",85
136,2 days,"1,466",80
137,3 days,539,23
138,2 days,639,60
139,4 days,"1,659",73
140,16 hours,273,5
141,4 days,708,56
142,5 days,"1,071",87
143,2 days,"1,545",100
144,2 days,973,91
145,66 days,"5,144",197
146,2 days,"1,306",98
147,1 day,497,19
148,1 day,741,22
149,2 days,472,11
150,3 days,"1,242",78
151,1 day,221,10
152,9 days,"2,962",128
153,2 days,790,53
154,56 days,"5,580",309
155,1 day,"1,088",50
156,7 days,"2,694",178
157,1 day,383,28
158,1 day,467,11
159,1 day,944,28
160,6 days,"2,456",150
161,1 day,416,27
162,7 days,"3,545",224
163,4 days,"1,001",80
164,1 day,495,40
165,1 day,925,62
166,15 hours,267,9
167,13 hours,177,10
168,2 days,208,6
169,1 day,524,35
170,1 day,286,31
171,2 days,401,11
172,1 day,472,20
173,3 days,"1,347",60
174,1 day,"1,214",69
175,1 day,178,7
176,1 day,245,16
177,3 days,"1,133",82
178,1 day,725,17
179,9 days,"4,622",221
180,2 days,571,15
181,,,
182,1 day,506,27
183,1 day,62,2
184,9 days,"1,765",133
185,1 day,770,38
186,1 day,592,20
187,20 hours,195,15
188,1 day,414,25
189,1 day,536,24
190,5 days,"1,481",68
191,1 day,654,25
192,1 day,563,16
193,2 days,"1,465",44
194,1 day,484,17
195,5 days,"1,132",59
196,30 days,"5,104",236
197,1 day,461,5
198,1 day,544,15
199,102 days,"3,723",207
200,1 day,246,26
201,1 day,448,26
202,4 days,"1,597",74
203,1 day,442,33
204,3 days,"1,801",42
205,1 day,170,5
206,3 days,930,45
207,1 day,277,17
208,40 days,"4,696",224
209,15 days,"3,392",258
210,5 days,871,53
211,1 day,337,28
212,1 day,484,22
213,72 days,"1,847",97
214,5 days,"1,273",71
215,88 days,"5,790",193
216,2 days,115,2
217,4 days,956,49
218,1 day,554,22
219,4 days,868,61
220,4 days,977,44
221,1 day,540,23
222,8 days,"2,399",74
223,61 days,"3,402",251
224,1 day,"1,019",78
225,1 day,133,13
226,44 days,"2,234",98
227,36 days,"5,506",276
228,36 days,"7,499",388
229,57 days,"2,272",124
230,13 days,"4,030",226
231,2 days,702,33
232,17 days,"2,755",82
233,1 day,357,9
234,122 days,"3,077",130
235,78 days,"3,064",178
236,1 day,577,39
237,9 days,"2,240",84
238,30 days,"4,447",182
239,53 days,"2,410",113
240,33 days,"3,504",159
241,5 days,"1,535",63
242,72 days,"5,585",249
243,63 days,"2,758",114
244,2 days,459,20
245,135 days,"5,555",182
246,2 days,54,2
247,5 days,"2,295",114
248,2 days,720,43
249,116 days,"2,427",166
250,9 days,"1,959",113
251,2 days,832,43
252,53 days,"2,205",103
253,79 days,"4,360",171
254,67 days,"5,666",189
255,5 days,"1,013",55
256,61 days,"1,661",100
257,3 days,658,22
258,8 days,"2,728",101
259,24 days,"2,442",78
260,9 days,"2,269",124
261,72 days,"7,640",327
262,9 days,"1,898",110
263,8 days,"2,265",102
264,30 days,"4,514",301
265,5 days,"1,728",68
266,10 days,"2,611",84
267,11 days,"3,798",186
268,1 day,739,23
269,2 days,490,43
270,65 days,894,55
271,8 days,"2,212",78
272,3 days,507,12
273,2 days,33,0
274,1 day,94,5
275,1 day,304,12
276,23 days,"4,214",305
277,6 days,"3,921",114
278,2 days,"2,656",83
279,5 days,"2,965",174
280,2 days,691,31
281,2 days,557,29
282,2 days,525,13
283,5 days,"1,728",63
284,1 day,753,22
285,2 days,"1,327",77
286,2 days,"1,133",83
287,59 days,"20,827","1,056"
288,3 days,"2,786",138
289,5 days,"3,504",259
290,7 days,"7,911",309
291,3 days,"1,663",76
292,3 days,"2,635",160
293,3 days,"1,853",134
294,19 hours,180,4
295,152 days,"8,135",303
296,4 days,"1,442",163
297,5 days,"2,275",131
298,3 days,"2,310",204
299,31 days,"7,108",484
300,3 days,"1,205",66
301,83 days,"17,275",978
302,1 day,"1,034",69
303,12 hours,181,3
304,4 days,"3,554",255
305,4 days,"1,283",94
306,3 days,"1,813",64
307,68 days,"5,159",230
308,1 day,760,93
309,2 days,236,10
310,2 days,"1,640",73
311,51 days,"22,294",603
312,54 days,"5,338",331
313,31 days,"3,183",143
314,2 days,562,24
315,2 days,821,39
316,46 days,"6,165",356
317,57 days,"5,343",272
318,2 days,956,52
319,77 days,"3,132",210
320,1 day,267,13
321,10 days,"3,254",260
322,1 day,378,12
323,2 days,275,15
324,2 days,196,6
325,26 days,"11,180",517
326,1 day,278,15
327,2 days,"2,285",163
