,duration,views,saves
1174,62 days,"17,588",393
1175,3 days,"2,711",231
1176,3 days,"2,320",92
1177,5 days,"1,870",70
1178,4 days,"3,001",102
1179,4 days,"3,250",136
1180,8 hours,83,4
1181,1 day,521,33
1182,33 days,"6,532",359
1183,2 days,"1,402",92
1184,3 days,806,30
1185,6 days,"4,373",130
1186,4 days,"2,091",118
1187,2 days,"1,042",46
1188,112 days,"3,838",178
1189,3 days,"1,813",90
1190,36 days,"4,952",180
1191,2 days,715,47
1192,84 days,"5,885",235
1193,4 days,"1,942",141
1194,4 days,732,48
1195,23 days,"8,010",337
1196,5 days,"1,933",64
1197,2 days,464,24
1198,23 days,"5,676",277
1199,63 days,"2,029",107
1200,2 days,"1,511",78
1201,2 days,"1,351",58
1202,60 days,"4,107",215
1203,6 days,"2,316",86
1204,2 hours,71,2
1205,2 days,"1,684",142
1206,5 days,"2,160",80
1207,4 days,755,64
1208,2 days,936,27
1209,2 days,602,53
1210,121 days,"3,980",180
1211,2 days,253,8
1212,24 days,"5,762",368
1213,8 days,"3,935",216
1214,1 day,312,13
1215,3 days,"1,053",92
1216,1 day,619,38
1217,1 day,371,18
1218,2 days,684,23
1219,5 days,"2,843",195
1220,2 days,327,15
1221,22 days,"5,656",220
1222,7 days,"1,978",75
1223,3 days,"1,032",30
1224,3 days,947,45
1225,15 days,"9,579",345
1226,2 days,"1,220",68
1227,3 days,"1,258",42
1228,1 day,398,13
1229,3 days,"1,273",44
1230,1 day,798,54
1231,1 day,248,13
1232,3 days,848,35
1233,1 day,269,1
1234,1 day,949,42
1235,35 days,"10,136",233
1236,8 days,"3,560",186
1237,4 days,"1,506",66
1238,2 days,271,8
1239,4 days,"1,990",71
1240,3 days,555,32
1241,2 days,447,14
1242,11 days,"3,599",174
1243,3 days,"1,614",85
1244,1 day,520,27
1245,43 days,"12,080",422
1246,2 days,"1,739",129
1247,1 day,557,22
1248,4 days,"1,131",71
1249,3 days,573,29
1250,2 days,"1,826",159
1251,6 days,"2,350",82
1252,50 days,"1,572",122
1253,1 day,144,7
1254,2 days,445,23
1255,3 days,741,27
1256,52 days,"4,487",171
1257,4 days,"1,301",70
1258,10 days,"4,027",165
1259,2 days,244,7
1260,7 days,"3,093",204
1261,16 hours,291,10
1262,2 days,392,22
1263,3 days,862,46
1264,4 days,802,44
1265,2 days,125,3
1266,1 day,239,10
1267,5 days,"3,873",179
1268,3 days,"1,132",43
1269,4 days,"1,452",46
1270,45 days,"5,742",204
1271,2 days,559,20
1272,25 days,"5,272",353
1273,8 days,"2,827",99
1274,36 days,"7,231",261
1275,2 days,"1,393",120
1276,1 day,564,14
1277,2 days,"1,031",31
1278,4 days,"2,036",131
1279,57 days,"7,256",255
1280,69 days,"4,135",121
1281,3 days,778,38
1282,2 days,435,14
1283,2 days,583,37
1284,30 days,"7,673",414
1285,39 days,"6,137",157
1286,17 days,"2,986",126
1287,14 hours,573,20
1288,1 day,219,14
1289,2 days,507,19
1290,2 days,"1,461",57
1291,1 day,362,19
1292,1 day,599,30
1293,2 days,959,65
1294,1 day,"1,357",66
1295,2 days,643,28
1296,1 day,490,31
1297,,,
1298,4 days,"1,298",84
1299,1 day,610,22
1300,2 days,"3,600",118
1301,8 days,"10,311",454
1302,1 day,"1,994",61
1303,3 days,"2,661",76
1304,2 days,"4,075",247
1305,3 days,"2,477",142
1306,1 day,609,11
1307,3 days,"1,734",116
1308,1 day,"1,413",49
1309,75 days,"26,580","1,105"
1310,2 days,"1,548",85
1311,4 days,"2,421",132
1312,4 days,"2,740",245
1313,3 days,"2,654",170
1314,16 days,"8,619",484
1315,1 day,282,7
1316,1 day,669,38
1317,6 days,"2,093",55
1318,39 days,"2,574",231
1319,3 days,"3,019",269
1320,8 days,"6,155",400
1321,3 days,"1,885",75
1322,1 day,"1,326",45
1323,4 days,"3,566",238
1324,3 days,"2,031",115
1325,1 day,645,18
1326,10 days,"3,657",160
1327,1 day,399,15
1328,10 days,"7,460",202
1329,1 day,787,35
1330,3 days,"2,040",67
1331,1 day,"1,550",98
1332,1 day,725,17
1333,,,
1334,3 days,"2,543",218
1335,1 day,"1,218",97
1336,3 days,"3,144",160
1337,1 day,269,8
1338,5 days,"1,226",66
1339,12 days,"3,047",204
1340,1 day,321,16
1341,1 day,604,23
1342,1 day,135,2
1343,2 days,264,4
1344,8 days,"4,078",236
1345,3 days,"2,408",116
1346,8 days,"3,436",118
1347,16 days,"5,545",378
1348,23 days,"14,201",899
1349,3 days,"1,624",69
1350,1 day,574,26
1351,44 days,"9,759",409
1352,4 days,"1,288",113
1353,4 days,"3,348",147
1354,2 days,"1,360",25
1355,3 days,"1,193",42
1356,2 days,465,30
1357,4 days,"1,622",82
1358,12 days,"4,631",280
1359,2 days,"1,113",57
1360,18 days,"6,496",353
1361,19 days,"11,276",568
1362,9 days,"3,238",168
1363,2 days,851,27
1364,8 days,"5,503",280
1365,2 days,"1,434",84
1366,37 days,"9,191",349
1367,61 days,"5,013",216
1368,1 day,669,39
1369,,,
1370,6 hours,170,4
1371,1 day,"1,062",35
1372,2 days,754,49
1373,2 days,"1,116",86
1374,15 hours,429,8
1375,31 days,"7,969",406
1376,4 days,"3,650",208
1377,2 days,562,44
1378,2 days,"1,012",95
1379,3 days,628,22
1380,53 days,"4,951",268
1381,10 days,"5,171",279
1382,7 days,"4,171",242
1383,2 days,692,26
1384,2 days,"1,087",64
1385,45 days,"1,827",79
1386,3 days,"1,689",80
1387,1 day,311,11
1388,121 days,"4,446",199
1389,2 days,729,48
1390,1 day,"1,035",50
1391,2 days,372,19
1392,2 days,451,19
1393,3 days,"1,545",100
1394,15 days,"5,834",267
1395,2 days,348,10
1396,58 days,"9,682",309
1397,1 day,"2,199",139
1398,38 days,"8,313",415
1399,2 days,181,7
1400,5 days,"1,771",102
1401,2 days,343,43
1402,2 days,"1,549",91
1403,1 day,435,29
1404,4 days,"1,122",69
1405,1 day,"1,119",87
1406,22 days,"7,721",309
1407,41 days,"6,096",240
1408,11 days,"2,766",130
1409,9 days,"3,767",152
1410,4 days,796,55
1411,3 days,668,26
1412,3 days,85,0
1413,2 days,467,24
1414,3 days,"1,266",41
1415,9 days,"3,208",112
1416,21 days,"7,535",248
1417,3 days,985,39
1418,1 day,530,20
1419,11 days,"3,729",209
1420,108 days,"5,309",229
1421,3 days,584,28
1422,1 day,267,9
1423,2 days,769,45
1424,2 days,964,19
1425,102 days,"2,089",98
1426,3 days,860,31
1427,8 days,"4,701",136
1428,11 days,"7,787",480
1429,8 days,"2,175",83
1430,23 days,"1,583",75
1431,37 days,"1,298",90
1432,1 day,719,22
1433,18 days,"5,236",162
1434,10 days,"2,276",127
1435,7 days,"6,459",300
1436,15 days,"5,780",232
1437,3 days,"1,346",58
1438,5 days,"3,079",115
1439,29 days,"5,002",150
1440,56 days,"3,374",142
1441,1 day,528,14
1442,3 days,"2,394",91
1443,2 days,993,106
1444,2 days,"1,708",102
1445,1 day,"1,510",77
1446,2 days,593,27
1447,3 days,"1,698",110
1448,3 days,"2,952",263
1449,4 days,"1,564",86
1450,5 days,"2,166",193
1451,4 days,"1,300",93
1452,3 days,"3,102",203
1453,3 days,"1,103",43
1454,3 days,"2,516",106
1455,7 days,"2,867",154
1456,38 days,"5,330",319
1457,3 days,"1,934",118
1458,3 days,"1,166",71
1459,3 days,"1,086",67
1460,23 days,"5,613",383
1461,5 days,"1,464",136
1462,13 hours,276,21
1463,4 days,"1,249",67
1464,4 days,"1,292",99
1465,1 day,"1,300",81
1466,1 day,"1,410",62
1467,2 days,127,4
1468,2 days,553,28
1469,34 days,"6,345",375
1470,2 days,597,24
1471,1 day,525,14
1472,2 days,701,17
1473,1 day,541,17
1474,17 days,"4,866",266
1475,2 days,968,52
1476,2 days,227,17
1477,14 hours,215,25
1478,2 days,796,67
1479,1 day,739,17
1480,2 days,359,10
1481,12 hours,262,12
1482,1 day,240,12
1483,1 day,801,36
1484,1 day,509,20
1485,5 days,"2,254",162
1486,2 days,"1,516",102
1487,2 days,852,29
1488,9 days,"3,587",194
1489,1 day,623,23
1490,1 day,74,9
1491,1 day,804,51
1492,2 days,752,24
1493,3 days,"1,562",80
1494,2 days,265,10
1495,2 days,"1,301",69
1496,1 day,491,38
1497,17 days,"9,354",551
1498,16 hours,371,6
1499,1 day,263,20
1500,3 days,958,45
1501,1 day,472,13
1502,2 days,316,21
1503,1 day,390,15
1504,2 days,319,12
1505,1 day,421,7
1506,2 days,290,16
1507,1 day,235,19
1508,2 days,163,9
1509,2 days,174,10
1510,17 hours,292,10
1511,2 days,355,10
1512,1 day,176,15
1513,1 day,361,10
1514,1 day,342,21
1515,2 days,352,7
1516,1 day,598,30
1517,1 day,536,27
1518,1 day,332,17
1519,1 day,525,28
1520,1 day,251,17
1521,7 days,"1,446",81
1522,4 days,"2,327",100
1523,2 days,124,2
1524,1 day,584,27
1525,5 days,"2,045",82
1526,1 day,283,10
1527,1 day,274,30
1528,1 day,689,33
1529,1 day,847,61
1530,2 days,437,18
1531,1 day,388,21
1532,1 day,609,30
1533,4 days,"2,213",157
1534,3 days,"1,292",40
1535,3 days,"1,469",49
1536,1 day,508,33
1537,1 day,735,18
1538,2 days,688,67
1539,1 day,575,60
1540,5 days,"2,094",138
1541,2 days,892,30
1542,2 days,518,40
1543,1 day,325,8
1544,10 days,"3,901",265
1545,2 days,736,36
1546,2 days,"1,015",76
1547,1 day,322,22
1548,2 days,"1,054",43
1549,2 days,"1,511",62
1550,36 days,"9,075",309
1551,8 days,"3,179",205
1552,2 days,491,32
1553,2 days,586,30
1554,1 day,217,5
1555,15 days,"4,939",399
1556,1 day,143,13
1557,24 days,"6,237",319
1558,3 days,"1,054",76
1559,76 days,"1,097",43
1560,2 days,480,33
1561,6 days,"1,858",70
1562,44 days,"2,604",122
1563,3 days,392,20
1564,3 days,"1,144",53
1565,2 days,565,32
1566,2 days,634,35
1567,18 days,"4,101",217
1568,2 days,655,35
1569,2 days,"1,409",61
1570,1 day,408,16
1571,3 days,640,38
1572,45 days,"5,018",222
1573,3 days,583,37
1574,43 days,"1,193",56
1575,3 days,499,43
1576,7 days,"4,196",247
1577,1 day,638,78
1578,102 days,"5,037",213
1579,3 days,800,58
1580,2 days,999,61
1581,38 days,"7,024",376
1582,2 days,694,60
1583,4 days,"1,433",116
1584,1 day,282,10
1585,2 days,130,3
1586,2 days,"1,504",85
1587,3 days,628,33
1588,2 days,975,67
1589,36 days,"4,801",198
1590,44 days,"3,430",180
1591,2 days,211,9
1592,120 days,"1,109",87
1593,1 day,224,6
1594,2 days,229,6
1595,3 days,642,32
1596,126 days,"4,392",184
1597,5 days,"1,047",33
1598,4 days,"2,852",92
1599,3 days,"2,501",134
1600,3 days,"1,357",100
1601,2 days,"1,735",110
1602,23 days,"5,235",370
1603,3 days,"1,643",103
1604,2 days,"1,220",68
1605,3 days,"1,208",63
1606,2 days,437,24
1607,2 days,"1,136",98
1608,134 days,"8,029",690
1609,3 days,"2,651",217
1610,4 days,937,39
1611,4 days,"1,877",115
1612,2 days,289,12
1613,1 day,527,40
1614,1 day,128,5
1615,1 day,664,47
1616,24 days,"3,860",252
1617,16 hours,146,5
1618,2 days,"1,608",53
1619,1 day,235,12
1620,1 day,609,5
1621,2 days,839,23
1622,2 days,254,11
1623,2 days,646,40
1624,1 day,485,22
1625,5 days,"3,411",127
1626,1 day,301,7
1627,10 days,"6,549",257
1628,2 days,561,53
1629,2 days,638,24
1630,1 day,635,6
1631,1 day,204,8
1632,1 day,663,58
1633,1 day,489,53
1634,1 day,559,35
1635,4 days,"1,878",85
1636,21 hours,436,46
1637,2 days,978,37
1638,6 days,"1,697",78
1639,215 days,"7,671",232
1640,16 days,"3,352",237
1641,1 day,422,20
1642,2 days,452,13
1643,1 day,182,5
1644,,,
1645,5 days,"1,115",40
1646,82 days,"2,067",122
1647,57 days,"2,597",91
1648,4 days,"1,720",81
1649,1 day,"1,383",60
1650,1 day,402,18
1651,3 days,900,58
1652,2 days,722,47
1653,79 days,"4,595",356
1654,25 days,"7,172",274
1655,3 days,749,38
1656,3 days,"1,434",42
1657,59 days,"2,566",119
1658,113 days,"2,004",110
1659,1 day,182,12
1660,4 days,685,50
1661,3 days,"1,374",55
1662,1 day,572,22
1663,1 day,280,13
1664,4 days,586,36
1665,57 days,"2,831",172
1666,6 days,"3,227",143
1667,47 days,"3,053",152
1668,19 days,"2,051",117
1669,43 days,"5,320",371
1670,3 days,"1,002",44
1671,53 days,"3,672",153
1672,2 days,620,62
1673,2 days,297,18
1674,30 days,"2,595",84
1675,144 days,"3,696",157
1676,10 days,"2,359",83
1677,6 days,"1,473",64
1678,23 days,"5,824",291
1679,3 days,"1,441",41
1680,21 days,"4,267",284
1681,31 days,"4,592",294
1682,30 days,"6,779",435
1683,2 days,959,43
1684,30 days,"3,074",142
1685,2 days,207,2
1686,28 days,"3,389",197
1687,4 days,577,22
1688,17 days,"2,096",117
1689,4 days,753,48
1690,68 days,"1,593",69
1691,4 days,"1,125",55
1692,79 days,"2,600",139
1693,3 days,573,18
1694,3 days,597,26
1695,2 days,"1,198",43
1696,57 days,"3,239",94
1697,135 days,"3,440",138
1698,2 days,240,3
1699,33 days,"3,413",223
1700,1 day,223,4
1701,1 day,163,6
1702,5 days,"1,223",46
1703,8 days,"1,794",46
1704,5 days,522,26
1705,7 days,"2,217",102
1706,58 days,"1,959",76
1707,5 days,475,24
1708,30 days,"4,755",187
1709,3 days,866,25
1710,30 days,"2,154",82
1711,8 days,"2,025",113
1712,71 days,"1,398",44
1713,3 days,701,34
1714,110 days,"1,238",54
1715,7 days,"3,730",101
1716,67 days,"1,455",52
1717,27 days,"2,253",134
1718,12 days,"1,789",73
1719,51 days,"3,804",236
1720,16 days,"3,417",233
1721,47 days,"2,262",96
1722,38 days,"2,519",78
1723,22 days,"3,588",121
1724,38 days,"2,803",93
1725,9 days,351,17
1726,6 days,370,20
1727,15 hours,82,1
1728,8 days,"1,132",35
1729,80 days,"2,119",84
1730,11 days,"1,357",114
1731,44 days,"3,480",143
1732,2 days,525,18
1733,4 days,889,32
1734,29 days,"4,551",216
1735,13 days,"1,990",67
1736,41 days,"1,481",94
1737,52 days,"1,352",40
1738,43 days,"3,844",111
1739,32 days,"4,923",184
1740,50 days,"2,765",89
1741,16 days,"2,439",76
1742,8 days,"1,223",66
1743,5 days,924,72
1744,5 days,847,27
1745,5 days,662,19
1746,24 days,"5,083",147
1747,46 days,"2,543",120
1748,8 days,"1,690",74
1749,1 day,579,26
1750,2 days,382,10
