,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1581,Single family residence,Built in 1948,Forced air,Central air,1 Off street,"4,791 sqft",$138 price/sqft,,33870386
1582,Single family residence,Built in 1981,"Baseboard, electric",None,2 Attached garage spaces,0.86 Acres,$141 price/sqft,,91969888
1583,Single family residence,Built in 1956,No data,Central air,2 Garage spaces,0.31 Acres,$182 price/sqft,,33969077
1584,Condominium,Built in 1990,"Electric, forced air",Central air,1 Garage space,,$141 price/sqft,,51277973
1585,Residential,,Forced air,No data,2 Attached garage spaces,1 Sqft,$67 price/sqft,3% buyers agency fee,97142809
1586,Single family residence,Built in 1960,"Forced air, natural gas",Central air,2 Garage spaces,"7,840 sqft",$106 price/sqft,,34736697
1587,Single family residence,Built in 2007,"Forced air, gas",Central air,2 Attached garage spaces,"8,228 sqft",$103 price/sqft,,88956813
1588,Single family residence,Built in 1960,"Forced air, gas",Central air,2 Attached garage spaces,0.26 Acres,$148 price/sqft,,34590185
1589,"Duplex, multi family",Built in 1925,"Gas, hot water, steam",Window unit(s),3 Garage spaces,,$46 price/sqft,,33663104
1590,Single family residence,Built in 1940,"Forced air, oil, pellet stove, wood",None,2 Garage spaces,23.19 Acres,$171 price/sqft,,203276736
1591,Condominium,Built in 1991,"Forced air, natural gas",Central air,1 Parking space,,$136 price/sqft,,51278017
1592,Single family residence,Built in 1979,"Forced air, oil",None,2 Attached garage spaces,2 Acres,$47 price/sqft,,34146628
1593,Single family residence,Built in 1905,"Forced air, gas",None,"No garage, no driveway","2,661 sqft",$68 price/sqft,,33351933
1594,Single family residence,Built in 2022,"Forced air, propane",Central air,3 Attached garage spaces,0.45 Acres,$238 price/sqft,,2060685609
1595,Single family residence,Built in 1928,"Forced air, natural gas",No data,2 Carport spaces,"5,227 sqft",$113 price/sqft,,97155277
1596,Single family residence,Built in 1913,"Gas, hot water, steam",None,2 Garage spaces,"6,250 sqft",$75 price/sqft,,33656883
1597,Singlefamily,Built in 1957,Other,Central,2 Parking spaces,"7,840 sqft",$62 price/sqft,,33898815
1598,Single family residence,Built in 2003,Heat pump,Heat pump,2 Garage spaces,1 Acres,$126 price/sqft,3.00% buyers agency fee,116022871
1599,Single family residence,Built in 1958,"Electric, forced air, natural gas","Electric, heat pump",1 Carport space,0.26 Acres,$258 price/sqft,3.00% buyers agency fee,77562561
1600,Single family residence,Built in 1960,Heat pump,Heat pump,2 Garage spaces,1.40 Acres,$122 price/sqft,3.00% buyers agency fee,115453143
1601,Single family residence,,"Forced air, gas pack, natural gas",Central air,1 Garage space,0.35 Acres,$113 price/sqft,,105764167
1602,Single family residence,Built in 1984,Heat pump,Heat pump,1 Garage space,0.40 Acres,$61 price/sqft,3.00% buyers agency fee,115456771
1603,Single family residence,Built in 2006,"Electric, heat pump",Heat pump,Garage,"4,400 sqft",$200 price/sqft,3.00% buyers agency fee,84433165
1604,Single family residence,Built in 1990,Heat pump,Heat pump,2 Garage spaces,0.50 Acres,$111 price/sqft,3.00% buyers agency fee,116024507
1605,Single family residence,Built in 1983,"Electric, forced air",Electric,No data,"6,068 sqft",$166 price/sqft,3.00% buyers agency fee,77553084
1606,Single family residence,Built in 1970,"Forced air, heat pump",Heat pump,"Driveway, off street",0.40 Acres,$105 price/sqft,3.00% buyers agency fee,115456043
1607,Single family residence,Built in 1977,"Central, electric",Central air,4 Garage spaces,1.19 Acres,$78 price/sqft,,96936980
1608,Single family residence,Built in 2006,"Electric, heat pump","Electric, heat pump",2 Garage spaces,18.95 Acres,$150 price/sqft,3.00% buyers agency fee,326675087
1609,"Single family residence, residential",Built in 1914,Forced air,Central air,Open parking,1.38 Acres,$171 price/sqft,3.00% buyers agency fee,1364539
1610,Single family residence,Built in 2003,Natural gas,Central air,2 Attached garage spaces,"6,534 sqft",$147 price/sqft,,103910048
1611,Single family residence,Built in 1980,Heat pump,Heat pump,2 Garage spaces,10.38 Acres,$177 price/sqft,3.00% buyers agency fee,2060711470
1612,Single family residence,Built in 1979,"Forced air, propane tank leased",Electric,1 Garage space,0.48 Acres,$191 price/sqft,3.00% buyers agency fee,120261750
1613,Single family residence,,"Baseboard, forced air, fireplace(s)",Central air,2 Attached garage spaces,4.03 Acres,$65 price/sqft,,234472794
1614,Single family residence,Built in 1976,"Gas pack, natural gas",Central air,2 Carport spaces,0.34 Acres,$71 price/sqft,,115345257
1615,Single family residence,Built in 1993,Heat pump,Central air,2 Attached garage spaces,0.80 Acres,$147 price/sqft,,105923355
1616,Single family residence,Built in 1963,Natural gas,Central air,Open parking,0.30 Acres,$139 price/sqft,,1347589
1617,Single family residence,Built in 1965,"Forced air, natural gas, fireplace(s)",Central air,2 Attached garage spaces,0.37 Acres,$122 price/sqft,,195012638
1618,Single family residence,Built in 1965,"Forced air, natural gas",Central air,2 Attached garage spaces,0.33 Acres,$134 price/sqft,,73490946
1619,Single family residence,Built in 1940,"Electric, natural gas",Central air,Open parking,"6,969 sqft",$195 price/sqft,,73609563
1620,Single family residence,Built in 1956,Natural gas,Central air,1 Garage space,0.26 Acres,$137 price/sqft,,73647685
1621,Single family residence,Built in 2008,Heat pump,Electric,2 Garage spaces,1.53 Acres,$122 price/sqft,3.00% buyers agency fee,234298218
1622,Single family residence,Built in 1959,"Central, natural gas",Central electric,2 Attached garage spaces,0.47 Acres,$186 price/sqft,,97258452
1623,Single family residence,Built in 1952,"Other, natural gas",Central electric,None,0.61 Acres,$89 price/sqft,,233964206
1624,Single family residence,Built in 2020,"Heat pump, natural gas",Heat pump,Garage,0.26 Acres,$159 price/sqft,3.00% buyers agency fee,2081408387
1625,Single family residence,,"Electric, forced air","Electric, heat pump",1 Garage space,3 Acres,$233 price/sqft,3.00% buyers agency fee,83411501
1626,Single family residence,Built in 1981,"Electric, forced air",Central air,1 Garage space,"8,712 sqft",$166 price/sqft,,114046308
1627,Single family residence,,"Electric, heat pump",Central air,3 Garage spaces,4.50 Acres,$98 price/sqft,,127153633
1628,Single family residence,Built in 1974,"Heat pump, propane, wall furnace, fireplace(s)",Central air,Open parking,12 Acres,$83 price/sqft,,121725052
1629,Single family residence,Built in 1995,"Forced air, natural gas",Central air,2 Attached garage spaces,0.75 Acres,$173 price/sqft,,97257002
1630,Single family residence,Built in 1992,Electric,Central air,2 Attached garage spaces,0.26 Acres,$148 price/sqft,,73447514
1631,Single family residence,Built in 1965,"Forced air, natural gas",Central air,2 Attached garage spaces,0.78 Acres,$134 price/sqft,,96936753
1632,Single family residence,Built in 1968,"Forced air, natural gas",Central air,2 Garage spaces,"9,147 sqft",$121 price/sqft,,73496200
1633,Single family residence,Built in 1979,"Electric, forced air, natural gas",Central air,Open parking,"8,276 sqft",$134 price/sqft,,73622970
1634,Single family residence,Built in 1955,"Forced air, ductless, natural gas","Central air, minisplit/ductless",Open parking,"10,454 sqft",$93 price/sqft,,73573866
1635,Condominium,Built in 1972,"Electric, heat pump",Electric,Other,,$154 price/sqft,3.00% buyers agency fee,96932561
1636,Singlefamily,Built in 2000,"Other, electric, gas",Central,2 Parking spaces,40 Acres,$199 price/sqft,,87848425
1637,Single family residence,Built in 1977,"Forced air, natural gas",Electric,3 Garage spaces,0.89 Acres,$170 price/sqft,3.00% buyers agency fee,194825878
1638,Single family residence,Built in 1992,"Heat pump, electric","Central air, heat pump",6 Garage spaces,2.47 Acres,$137 price/sqft,,117786049
1639,Single family residence,Built in 1995,"Propane, wood",Central air,Open parking,2.32 Acres,$86 price/sqft,,115466824
1640,Single family residence,Built in 1910,"Electric, heat pump",Central air,Open parking,"8,712 sqft",$155 price/sqft,,95195043
1641,Single family residence,Built in 1997,"Gas forced air, fireplace(s)",Central air,2 Attached garage spaces,14.21 Acres,$290 price/sqft,2.5% buyers agency fee,114016083
1642,Single family residence,Built in 1973,"Forced air, natural gas",Central air,1 Attached garage space,"10,018 sqft",$165 price/sqft,,105916569
1643,Single family residence,Built in 1954,"Forced air, natural gas","Attic fan, electric",2 Garage spaces,10 Acres,$173 price/sqft,2.75% buyers agency fee,2065870132
1644,Single family residence,Built in 1999,"Forced air, natural gas",Central air,3 Attached garage spaces,0.40 Acres,$134 price/sqft,,73583753
