,streetAddress,postalCode,latitude,longitude,zpid
153,844 Diamond Rim Dr,80921,39.024113,-104.81235,92136064
154,3263 Templeton Gap Rd,80907,38.878265,-104.793236,13593786
155,5699 Stable Ct,80920,38.948467,-104.72352,13562399
156,9539 Clatsop Dr,80925,38.73167,-104.650375,247509225
157,1722 N Chelton Rd,80909,38.857857,-104.76569,13602165
158,8495 Rain Dance Ct,80920,38.955364,-104.756096,13561330
159,2302 Kent Ln,80909,38.865463,-104.76748,13600860
160,8128 Burl Wood Dr,80908,38.94492,-104.675095,247511103
161,534 Yellowstone Rd,80910,38.823147,-104.78654,13619112
162,3507 Michigan Ave,80910,38.825653,-104.76876,13615352
163,4551 Horse Gulch Loop,80924,38.981922,-104.74084,294979957
164,9539 Clatsop Dr,80925,38.73167,-104.650375,247509225
165,1722 N Chelton Rd,80909,38.857857,-104.76569,13602165
166,8495 Rain Dance Ct,80920,38.955364,-104.756096,13561330
167,2302 Kent Ln,80909,38.865463,-104.76748,13600860
168,8128 Burl Wood Dr,80908,38.94492,-104.675095,247511103
169,534 Yellowstone Rd,80910,38.823147,-104.78654,13619112
170,3507 Michigan Ave,80910,38.825653,-104.76876,13615352
171,4551 Horse Gulch Loop,80924,38.981922,-104.74084,294979957
172,9539 Clatsop Dr,80925,38.73167,-104.650375,247509225
173,1722 N Chelton Rd,80909,38.857857,-104.76569,13602165
174,8495 Rain Dance Ct,80920,38.955364,-104.756096,13561330
175,2302 Kent Ln,80909,38.865463,-104.76748,13600860
176,8128 Burl Wood Dr,80908,38.94492,-104.675095,247511103
177,534 Yellowstone Rd,80910,38.823147,-104.78654,13619112
178,3507 Michigan Ave,80910,38.825653,-104.76876,13615352
179,4551 Horse Gulch Loop,80924,38.981922,-104.74084,294979957
180,9539 Clatsop Dr,80925,38.73167,-104.650375,247509225
181,1722 N Chelton Rd,80909,38.857857,-104.76569,13602165
182,8495 Rain Dance Ct,80920,38.955364,-104.756096,13561330
183,2302 Kent Ln,80909,38.865463,-104.76748,13600860
184,8128 Burl Wood Dr,80908,38.94492,-104.675095,247511103
185,534 Yellowstone Rd,80910,38.823147,-104.78654,13619112
186,3507 Michigan Ave,80910,38.825653,-104.76876,13615352
187,4551 Horse Gulch Loop,80924,38.981922,-104.74084,294979957
